season,name,position,conference
2018,Patrick Mahomes,QB,AFC
2018,Philip Rivers,QB,AFC
2018,Tom Brady,QB,AFC
2018,Andrew Luck,QB,AFC
2018,Deshaun Watson,QB,AFC
2018,James Conner,RB,AFC
2018,Melvin Gordon,RB,AFC
2018,Phillip Lindsay,RB,AFC
2018,Lamar Miller,RB,AFC
2018,Anthony Sherman,FB,AFC
2018,DeAndre Hopkins,WR,AFC
2018,Tyreek Hill,WR,AFC
2018,Keenan Allen,WR,AFC
2018,Antonio Brown,WR,AFC
2018,JuJu Smith-Schuster,WR,AFC
2018,Jarvis Landry,WR,AFC
2018,Travis Kelce,TE,AFC
2018,Eric Ebron,TE,AFC
2018,Jared Cook,TE,AFC
2018,Taylor Lewan,OT,AFC
2018,Alejandro Villanueva,OT,AFC
2018,Eric Fisher,OT,AFC
2018,David DeCastro,OG,AFC
2018,Marshal Yanda,OG,AFC
2018,Quenton Nelson,OG,AFC
2018,Joel Bitonio,OG,AFC
2018,Maurkice Pouncey,C,AFC
2018,Mike Pouncey,C,AFC
2018,J.J. Watt,DE,AFC
2018,Myles Garrett,DE,AFC
2018,Melvin Ingram,DE,AFC
2018,Calais Campbell,DE,AFC
2018,Geno Atkins,DT,AFC
2018,Jurrell Casey,DT,AFC
2018,Cameron Heyward,DT,AFC
2018,Kyle Williams,DT,AFC
2018,Brandon Williams,DT,AFC
2018,Von Miller,OLB,AFC
2018,Jadeveon Clowney,OLB,AFC
2018,Dee Ford,OLB,AFC
2018,T.J. Watt,OLB,AFC
2018,C.J. Mosley,ILB,AFC
2018,Benardrick McKinney,ILB,AFC
2018,Xavien Howard,CB,AFC
2018,Jalen Ramsey,CB,AFC
2018,Stephon Gilmore,CB,AFC
2018,Denzel Ward,CB,AFC
2018,Chris Harris Jr.,CB,AFC
2018,Derwin James,FS,AFC
2018,Eric Weddle,FS,AFC
2018,Jamal Adams,SS,AFC
2018,Brett Kern,P,AFC
2018,Jason Myers,K,AFC
2018,Andre Roberts,KR,AFC
2018,Adrian Phillips,ST,AFC
2018,Casey Kreiter,LS,AFC
2018,Drew Brees,QB,NFC
2018,Jared Goff,QB,NFC
2018,Aaron Rodgers,QB,NFC
2018,Russell Wilson,QB,NFC
2018,Mitchell Trubisky,QB,NFC
2018,Dak Prescott,QB,NFC
2018,Todd Gurley,RB,NFC
2018,Saquon Barkley,RB,NFC
2018,Ezekiel Elliott,RB,NFC
2018,Alvin Kamara,RB,NFC
2018,Kyle Juszczyk,FB,NFC
2018,Michael Thomas,WR,NFC
2018,Julio Jones,WR,NFC
2018,Davante Adams,WR,NFC
2018,Adam Thielen,WR,NFC
2018,Mike Evans,WR,NFC
2018,Amari Cooper,WR,NFC
2018,Zach Ertz,TE,NFC
2018,George Kittle,TE,NFC
2018,Austin Hooper,TE,NFC
2018,Terron Armstead,OT,NFC
2018,Tyron Smith,OT,NFC
2018,Trent Williams,OT,NFC
2018,Lane Johnson,OT,NFC
2018,Charles Leno,OT,NFC
2018,Jake Matthews,OT,NFC
2018,Brandon Brooks,OG,NFC
2018,Zack Martin,OG,NFC
2018,Trai Turner,OG,NFC
2018,Andrus Peat,OG,NFC
2018,Larry Warford,OG,NFC
2018,Alex Mack,C,NFC
2018,Max Unger,C,NFC
2018,Cody Whitehair,C,NFC
2018,Cameron Jordan,DE,NFC
2018,DeMarcus Lawrence,DE,NFC
2018,Danielle Hunter,DE,NFC
